role_name;idPer;idObra;idPapel;
Marina Osorio;110;499;59005;
Irene;111;724;42314;
Pedro Abrunhosa;112;2999;21694;
Une miss;113;588;41937;
Salah;114;2509;18237;
Yusefs father;115;2509;18238;
Nuera 3;117;2825;49447;
;119;2819;20079;
Driver;121;1938;15162;
Widimer - sustitución;122;1827;1245;
Klaus;122;3009;1907;
Voz de Pío Coronado;122;1401;11236;
Locutor;122;2626;18881;
Locutor;122;2629;18884;
Locutor;122;2630;18885;
Locutor;122;2632;18887;
Locutor;122;2670;19045;
Locutor;122;2863;20405;
Locutor;122;3107;22640;
Locutor;122;3159;23031;
;122;3358;24341;
Locutor;122;4639;31342;
Locutor;122;4814;32172;
;122;4966;32995;
Locutor;122;4933;33379;
Himself - Host;123;741;386;
Himself - Colaborador;123;4314;3130;
;123;962;9815;
;124;3430;49243;
Giovanni Canevari;125;3127;1941;
Suicida a Montecarlo;125;3412;24802;
;126;1644;13321;
;126;4926;32745;
;127;180;54;
Himself - Narrador;127;1319;1053;
Niña;130;1239;38192;
Bella, la gallina;131;3636;39254;
Bella;131;3534;52316;
Militar 2º base;132;2520;18278;
Himself - Host;133;2005;1317;
;133;5163;3795;
;134;5626;36784;
;135;5046;3565;
;135;749;7800;
Policía;135;1250;10486;
Guardia II;135;3037;22073;
Newspaper Director;135;3673;26333;
;135;4033;28607;
;135;4038;28609;
Vigilante 1;135;5499;36245;
;136;560;6621;
;136;4461;30669;
Policia;138;3297;26350;
Adjutant;139;772;7847;
Heavy;139;3808;27270;
Calero;140;2408;17544;
Augostino;141;1432;11557;
;142;1411;11338;
Vigilant;143;5019;33219;
;144;5046;40151;
;144;385;41341;
Esposa de Eusebio;144;1550;45091;
;144;2144;47284;
Mujer Madura;144;2430;48128;
Doña Lidia;144;3069;50584;
Secretaria;144;3251;51191;
Doña Genoveva;144;3427;52029;
Pura;144;3518;52254;
Invitada;144;4656;55674;
;144;4752;55922;
;144;5162;57280;
;144;5205;57422;
;144;5229;57485;
Hermana menor de Katy;145;2757;49137;
;149;3776;27080;
Grognard;149;5588;36552;
Christian;150;1566;12809;
Himself;151;5218;34605;
Tuareg #2;152;4746;31784;
;153;2320;47871;
Oscar;155;5187;34395;
Policeman 2;156;2489;18078;
Comensal;156;3054;22170;
Voix du bébé;158;5014;33172;
;161;5046;3566;
;161;4794;33349;
;163;4689;55762;
Don José Luzardo;164;1336;10968;
;166;1411;11339;
;167;3697;2311;
Roberto;167;3698;26469;
Marine U.S.A.;167;3726;26657;
Ingeniero;167;4220;29378;
;167;4322;29883;
Antonio;169;1469;11956;
Gutiérrez;173;4801;32090;
Cerrajero;174;3073;22387;
Tide Announcer;175;1938;15163;
;175;5170;34298;
Gomela;176;2408;48071;
Miliciana #7;177;3471;52137;
Lobo III;179;2298;16916;
;180;1956;46709;
;181;5662;37043;
;183;5158;57239;
Lt. Nina Crowley;185;5143;57185;
Sebas;186;2319;17092;
Conxa;187;5161;57272;
Amy;189;808;42621;
La chica;190;4793;56046;
Miranda;192;808;42622;
král Leopold;193;4901;33369;
Pool Party Girl;196;1030;43259;
Carmen;197;2739;49073;
Susana;197;4325;54814;
Sheriff;198;382;5745;
;199;2322;17118;
Walker;200;3282;23764;
Hans;201;3636;2281;
Hans;201;3534;25372;
Inquisidor;202;979;8949;
Bailarina;203;1416;44505;
Herself - Hostess;204;2538;38925;
Sandra;204;3604;39251;
Maya;204;38;39339;
Maya;204;39;39346;
Maya;204;40;39353;
Maya;204;41;39360;
Maya;204;42;39367;
Maya;204;43;39374;
Maya;204;44;39381;
Maya;204;45;39388;
Maya;204;46;39395;
Maya;204;47;39404;
Maya;204;48;39413;
Maya;204;49;39419;
Maya;204;310;39466;
Maya;204;601;39477;
Maya;204;828;39486;
Maya;204;898;39495;
Maya;204;1045;39503;
Maya;204;1070;39512;
Maya;204;1291;39520;
Maya;204;1814;39539;
Maya;204;2332;39553;
Maya;204;2473;39562;
Maya;204;3201;39588;
Maya;204;3263;39597;
Maya;204;3339;39604;
Maya;204;3494;39613;
Maya;204;3606;39622;
Maya;204;3681;39631;
Maya;204;4620;39647;
Maya;204;4892;39662;
Maya;204;5265;39672;
Maya;204;5267;39679;
Maya;204;5378;39686;
Maya;204;5629;39695;
;204;695;42248;
Maria;204;859;42839;
Enfermera tocólogo;204;1033;43278;
Niña;204;1518;45011;
Yolanda;204;1527;45046;
Chus;204;1612;45421;
;204;1830;46234;
Elena;204;1901;46533;
;204;1953;46703;
Juani;204;2055;47006;
María;204;3000;50193;
María;204;3516;52242;
Sara;204;3618;52608;
María;204;3748;53156;
Mariló;204;4379;55021;
Belén;204;4672;55731;
Elena;204;5581;58388;
Matarife;205;5019;33220;
;206;1059;9339;
Mujer de Evelio;209;4220;54491;
Amante;210;1981;46844;
El Otro;211;3882;27732;
Sr. Sombra;211;3882;27733;
Gaspard;211;3954;27971;
Violador;212;2817;20066;
Portero;215;615;7074;
Oficial ayudante del General Franco;215;1362;11039;
Dueño gargaje;215;1512;12270;
Conserje;215;3076;22433;
Jaime;215;3277;23762;
Frutos;215;3357;24324;
Antonieta Rivas Mercado;216;418;41462;
;217;1129;9748;
Néstor;217;2075;15905;
Martin;217;3060;22251;
;217;4643;31354;
;217;5291;35251;
;218;4854;56241;
He;220;1050;9306;
Additional Voices;221;4522;39973;
;222;3035;22374;
;223;3035;22375;
;224;3035;22376;
;225;3035;22377;
;226;3035;22378;
Suad;228;2509;48394;
Damian Centeno;229;4190;3062;
Padre;229;3019;21966;
Cristina;230;1772;45979;
;231;2989;21606;
;231;4554;30988;
Cureillista 4;232;5245;34910;
;237;275;40919;
;238;3270;39109;
Princesa de Éboli;238;5100;40205;
Joana;238;93;40495;
Mujer morena;238;1125;43627;
Rocío;238;1189;43854;
Carmen;238;1198;43863;
Marisa;238;1743;45901;
;238;2318;47860;
;238;2442;48175;
;238;2378;48217;
;238;2471;48238;
;238;2753;49113;
;238;3040;50614;
María;238;3329;51487;
Chonina;238;3559;52402;
Lola;238;3658;52804;
;238;3662;52834;
María;238;3761;53289;
Aurelia;238;4231;54545;
Irene;238;4327;54821;
;238;4601;55537;
Lilith - paranormal viewer;238;4827;56111;
María;238;5016;56706;
;238;5121;57102;
Sandra;238;5560;58360;
Ana;238;5664;58689;
Susana;238;31;58821;
Maruja;238;5312;59076;
Cyclops;239;2874;20493;
;242;3175;23104;
Lorry Driver;245;4014;28333;
Nancy;246;5017;56710;
Chico colegio;248;2837;20251;
Mihai;250;1878;14976;
;252;1718;45843;
;253;33;4092;
Peter;254;4301;29777;
Journalist;255;3673;52858;
Nancy;256;3184;51037;
;257;156;4418;
Naroa;258;2402;38841;
;259;1664;1201;
Pedro;259;81;4260;
;259;167;4484;
Padre;259;239;4816;
;259;376;5703;
;259;393;5802;
;259;1083;9489;
Tipo Coche;259;1540;12647;
Ramiro;259;2565;18465;
;259;2658;18987;
;259;2951;21332;
Portero;259;2975;21500;
;259;3504;25236;
Periodista;259;3847;27529;
;259;4322;29884;
;259;4403;30419;
;259;4479;30757;
;259;4772;31945;
Mendigorría;259;4998;33071;
Secretario judicial;259;4756;33314;
;259;5664;37079;
Praying Man 1;261;658;7236;
Capitán Cervantes;263;1820;14516;
Sr. Madrazo;263;4416;30463;
;266;2213;16550;
Indian Girl;267;881;42931;
Himself - Host;268;2417;1623;
;268;174;4550;
;268;3973;28179;
;268;4105;29020;
María de Guísamo;269;1459;44797;
;274;2202;16470;
Jane Blake;275;555;41772;
Angelica;275;597;41975;
María José;275;4828;56115;
Laura;275;4841;56162;
Musician: El Nuevo Quinteto Real;277;5048;33525;
;278;5580;58384;
;282;5229;34817;
Carla, aerobics instructor;283;3903;53651;
;285;750;42424;
;285;2968;50062;
;286;4557;31014;
;287;510;6391;
;288;1337;10999;
Niño;288;3733;26737;
;289;2583;18545;
Aprendiz;290;3015;21867;
;291;3528;52310;
Himself;295;2655;18974;
;296;3216;51106;
Himself;297;5218;34606;
Monja;299;979;8950;
Guerrillera urbana;302;4194;54440;
;304;532;6469;
El Lentejas;304;2179;16366;
;304;4654;31683;
Sirvienta;306;3198;51076;
;308;32;58827;
Niña 2;310;4094;54273;
;311;1221;43935;
Lola;312;3602;39242;
;312;3175;51004;
Himself - Reportero;313;4081;2961;
;313;2103;16036;
;313;4301;29778;
;313;3;37368;
;314;683;7366;
Amigo de Diego y Susana;319;3427;24961;
Himself;320;4274;31043;
Mujer Centro Social;321;4922;56438;
Cuñada;321;5644;58557;
;322;5510;36285;
;324;2495;18151;
;325;1548;12747;
González 1;326;1566;12810;
Herself;327;332;37942;
;328;455;6121;
;331;5435;36039;
Camarero;332;254;4913;
;333;4643;31355;
Himself - Host;335;3858;2869;
Álvaro;336;4695;31554;
;337;653;42128;
Federico;338;966;9859;
Herself;339;1302;38560;
Herself;339;1530;38630;
Hermano Juan;341;979;8951;
Locutora;343;312;41042;
Segunda Alicia;343;335;41099;
Nieves;343;430;41502;
Maryse;343;588;41938;
;343;880;42927;
Victoria;343;1120;43607;
Rosa;343;1338;44223;
Inés;343;1468;44852;
Mónica;343;1480;44881;
;343;1660;45619;
Erika;343;1828;46227;
Virginia Nardini;343;2042;46987;
Irene;343;2513;48410;
Zinas assistant;343;2703;48919;
;343;3200;51082;
Serafina;343;3265;51257;
Virginia;343;3337;51539;
Juanita;343;3684;52910;
;343;4039;54066;
Margarita;343;4527;55362;
Laura;343;4577;55509;
Marga;343;5203;57417;
María;343;5240;57523;
;343;5343;57828;
Margarita;343;113;58928;
Sol;343;129;58976;
La Pelos;344;2064;47047;
Himself - Host;345;4428;3237;
Himself - Guest;346;4563;3376;
La muerte;347;2914;20959;
;348;3623;52650;
Pilar;349;3721;38289;
Dependienta;353;3163;50966;
;354;1889;46500;
;355;1681;45672;
Margarita Figa;355;2875;49648;
Moon;355;5150;57207;
;357;689;446;
;357;1773;14100;
;357;2229;16622;
;357;2264;16779;
Iván;357;4873;32509;
;360;3836;27434;
Cabo Guardia Civil Control;362;279;5096;
Objetor de SAMUR;362;3988;28240;
Agente 1;362;4998;33072;
;363;3882;27734;
;366;1859;765;
;366;480;6252;
Quiosquero;366;2690;19110;
;366;2878;20612;
Mari;370;1455;44789;
Chico;371;1429;11532;
;373;3823;53402;
Psiquiatra;373;4416;55129;
;373;4527;55363;
Niño;374;1450;11791;
;379;355;5566;
;379;1125;9723;
Faustino Renedo;379;1482;12006;
;379;1881;14999;
;379;2899;20835;
;379;2906;20897;
;379;3248;23522;
;379;3727;26638;
;379;4038;28610;
;379;4365;30103;
;379;5652;36944;
;385;4832;32229;
Modista;387;4023;54018;
Marta;389;966;43718;
;389;4344;54875;
;390;2294;47700;
;392;2925;21020;
Doña Nacha;393;1506;44961;
Grandmother;394;1577;45286;
Felipe;396;3698;26470;
;397;3532;19880;
Periodista de guerra;398;1754;14018;
Camarero;399;5293;35168;
;402;2299;16946;
;403;2780;20344;
;409;1627;45509;
Blancas parent;409;3303;51370;
Arquitecto y ex-rector de la Universidad Ingeniería de Lima;410;2218;16572;
;412;777;7883;
;413;2409;17590;
;413;5312;37811;
Col. Ruiz;414;772;7848;
;414;1174;10093;
;414;1465;12060;
;414;2100;16014;
;414;5232;34832;
Malo;415;1772;14091;
;415;2478;18010;
Torturador;415;2598;18660;
Isidre;415;3146;22872;
El Anguila;415;4390;30265;
Toni;416;4024;28578;
Himself;417;3956;28005;
Female Guard;419;99;40515;
Guardesa;419;99;40516;
Madre Trini;419;354;41220;
Tía de Ángel;419;645;42091;
Emilia;419;965;43702;
Pelona;419;1459;44798;
Señora 1;419;1393;45758;
Madre;419;1763;45957;
;419;1792;46089;
Mariana;419;1990;46883;
Directora;419;2064;47048;
Juliana;419;2677;48836;
Neighbor A;419;2943;49964;
Angelita;419;3023;50312;
La monjita;419;3069;50585;
Aldeana Panal;419;3076;50649;
Mujer teléfonos #2;419;3359;51652;
Madre de Ángel;419;3663;52836;
Mercedes;419;3714;52997;
Housemaid;419;3921;53683;
Encarna;419;4147;54354;
Angustias;419;4353;54919;
María;419;4765;55966;
Julios Mother;419;4964;56570;
Madre;419;5058;56919;
Cristina;419;5164;57266;
Catherine Sebanek;420;382;41328;
;421;3409;51914;
Zoltan;423;2000;15689;
Ahira;424;1929;46765;
;425;5334;57777;
González el otro;429;1566;12811;
Mauro;433;2400;17514;
Gene;435;5302;35216;
Leonor;436;2402;38842;
;437;2583;48589;
;437;4772;55984;
;438;4652;3421;
Obispo Olaechea;438;343;5417;
Coque;438;412;5969;
Moreno;438;1148;9955;
Rey Felipe II;438;1329;10802;
Juan;438;1369;11127;
;438;1580;12900;
;438;2949;21270;
Pierre;438;3005;21804;
;438;3601;25825;
;438;3651;26213;
Raúl;438;3673;26334;
;438;4191;29259;
;438;4355;30070;
;439;4729;31713;
;440;4778;56010;
Niño mapuche;441;2946;21215;
Parroquiano;442;2946;21216;
Herself;443;330;41084;
Herself;443;3668;49321;
Tina;444;3826;53976;
Rosa;444;4616;55579;
Himself;447;5218;34607;
Mrs. Hunt;448;4647;55655;
;449;4487;30772;
;450;4164;29196;
Rodrigues;451;4895;32565;
;453;4995;33106;
Mrs. Palletto;455;5302;57693;
Patricia;459;1610;45411;
;460;4068;28794;
;461;560;41779;
;462;2826;49453;
Asian Punk Girl;463;5660;37013;
Profesor Blank;465;1360;11025;
;466;2819;20080;
Gogo Tatami;469;508;41673;
Go-go;469;3794;53949;
;470;545;6524;
;472;5071;33692;
Fátima;473;5019;56726;
;474;2694;19119;
;475;1834;46310;
;475;5094;57005;
New cinema spectator;477;403;41367;
El Tirantes;480;1513;12284;
Priest;480;1730;13904;
Militia member;483;3303;23915;
Presentadora;484;4018;53994;
Periodista;485;3728;26627;
Joaquín jr.;486;4665;31459;
Nuria;487;708;42283;
Esperanza;487;1789;46078;
;488;4803;56070;
3rd Dead Man;490;2954;21355;
Voz Lalia;491;3300;51368;
Himself;495;830;8216;
;495;3069;22370;
Daniel Camarena;496;1365;1073;
Jack;497;2563;18449;
Mensajera;498;3540;52323;
Child;499;5480;36197;
Elma;500;2411;48095;
Bailarín;501;5665;37088;
;503;2694;19120;
;505;3554;25561;
;505;3935;27939;
Representante asociación vecinos;506;2876;20583;
;508;1433;11583;
Juan;508;5348;35548;
;509;4667;31467;
Niña;510;1416;44506;
D.. Francisquita;514;2704;48928;
Madeleine;515;3308;49215;
;516;3566;25588;
Antoine;524;3442;2093;
;524;1347;10882;
;524;1474;11959;
Secretario;524;2195;16447;
;524;2894;20784;
;524;2931;21073;
;524;3471;25089;
Andrés;524;4451;30618;
;524;5058;33616;
;524;5604;36717;
Ramón;524;31;37304;
Adversario;525;3742;26829;
Mendigo 2;526;870;8436;
Vagabundo;526;2809;20019;
;528;1494;44937;
La hija pequeña;529;752;42435;
Bailarín;530;1416;11421;
Natalia;531;100;58876;
Niño;532;3326;24102;
Mother;533;2072;47134;
Cervantes;537;979;8952;
Tommy;538;2457;17972;
Griffith;538;3229;23434;
Hombre celoso;538;3784;27139;
Tito;538;4087;28915;
Doña Euduviges;539;160;40560;
;539;803;42586;
;539;1488;44912;
;539;1584;45322;
Mabille;539;2662;48775;
Mother Gautère;539;2923;49849;
;539;3017;50277;
Enfermera;539;4726;56744;
Azafata;540;4304;54767;
Magda;540;5423;58076;
Go-go;542;3794;28417;
Policía 2;544;3137;22831;
Prison guard;545;382;5746;
;545;1110;9593;
;545;1337;11000;
Lenteja;545;1422;11515;
Almuhecin;545;1636;13247;
;545;1691;13563;
;545;2148;16224;
Paco;545;2255;16760;
;545;2333;17230;
;545;2444;17849;
Comanchero;545;2609;18714;
;545;2804;19991;
;545;3062;22266;
;545;4089;28916;
;545;4973;33016;
;546;625;7099;
Brujos;546;870;8437;
Novio;546;973;8940;
Policía II;546;1677;13456;
Álvaro;546;1424;15408;
Juancar;546;2055;15810;
;546;2665;19038;
Musculitos;546;3069;22344;
Ramón;546;3656;26238;
Cidraque;546;3970;28123;
Álex;546;3794;28418;
Daniel;546;4096;29015;
Teo;546;4602;31164;
Mario;546;4619;31240;
He;546;4683;31519;
Rafael;546;4807;32154;
Cosme;546;4998;33073;
Raúl;546;4993;33100;
Marcos;546;5375;35746;
;547;5665;37089;
Milagros;548;501;41630;
Benítez;548;3137;50866;
Benítez;548;3740;53097;
;548;4665;55715;
Madre 1;549;3740;53098;
;550;3262;23621;
;551;3317;23988;
Elisa;553;262;40896;
Cristina;553;314;41049;
Lucía;553;946;43048;
Lucrecia;553;1632;45542;
Claudia;553;1709;45826;
Betty;553;1790;46071;
Betty;553;1789;46079;
Berta;553;1995;46910;
Sol;553;2096;47198;
Fanny;553;2368;47982;
Nuria;553;2497;48602;
Julieta;553;2742;49078;
Julietta;553;2724;49104;
Julietta Santigosa;553;2844;49504;
Gardenia;553;2911;49795;
Virginia;553;2982;50115;
Rosa;553;3246;51168;
Alumna de la fiesta;553;3320;51442;
;553;3333;51509;
Pris;553;3391;51793;
Babsy;553;3642;52713;
Amiga de Cristina;553;4051;54103;
Cati;553;4086;54219;
Girl in Sheik Casting;553;4226;54516;
Eva;553;4400;55075;
Chica de la discoteca;553;5368;57900;
Virguita;553;5434;58114;
Himself - Guest;554;5487;3943;
;558;4030;28589;
;560;2878;20613;
;562;4290;29717;
Bailarina;565;1692;45779;
;565;2931;49884;
Manuela niña;565;3745;53145;
;567;1479;11983;
;569;33;40421;
Herself;570;1302;38561;
;572;574;6743;
;574;3262;23622;
;575;569;6702;
;576;3162;23036;
Detective;576;5197;34441;
Cura 2;576;5245;34911;
Niño;577;3470;25075;
Quico;578;3607;25829;
Invitado fiesta;579;372;5639;
Harry Punchy Moses;581;2298;16917;
;582;4041;28650;
Tracy;584;3608;52570;
Merche;585;224;40707;
;585;2772;49189;
;587;4516;30846;
Reporter 1º TV;589;2520;18279;
Herself - Reporter;590;834;38400;
Joao Bernardo;592;2962;21463;
Himself - Guest;593;1080;880;
Himself;593;681;7412;
Himself;593;1248;10460;
Himself;593;3687;26397;
;594;1911;46546;
Adriana;594;1919;46725;
Berta;594;2099;47205;
;594;2513;48411;
;594;3062;50536;
Vicky;594;4068;54157;
Elena - The writers wife;594;5547;58319;
;594;117;58951;
;595;1282;10544;
;595;1579;12889;
;595;3200;23286;
;595;3756;27010;
;598;1234;43950;
Rocker Boy;600;1882;15007;
Oscar as invisible boy;601;4241;37778;
Juanjo;603;1;37401;
Señora 2;606;3961;53769;
;607;3272;559;
;607;320;5291;
;607;481;6256;
;607;817;8119;
;607;1410;11318;
Juez de Instrucción;607;1482;12007;
;607;1552;12531;
Dignatario;607;1687;13539;
;607;1949;15326;
;607;3046;22121;
;607;3630;26027;
;607;3722;26704;
Himself;609;5218;34608;
Stoffer;611;2597;18632;
;612;938;809;
;613;3177;1992;
Don Lorenzo;613;2419;17774;
;613;2543;18422;
;613;3430;19746;
;613;3486;19836;
Pablo;613;3532;19881;
Futuro recluta;613;3149;22908;
;613;4252;29577;
Pelopoya;613;5019;33221;
Himself;614;1195;972;
Antxon;615;2406;17533;
;616;93;4290;
Don José María;616;343;5418;
;616;1417;11448;
;616;1704;13767;
Coleccionista;616;2067;15876;
;616;2124;16126;
;616;2406;17534;
;616;3650;26179;
;616;4487;30773;
;616;5450;36119;
Chica muerta 1.;617;1621;45482;
;618;498;6337;
Rey negro;618;4742;31764;
;618;4805;32151;
Qualified Carer;620;2597;48637;
Himself - Guest;623;2353;1490;
;625;1128;9745;
;625;1940;15258;
Arturo;626;5257;34974;
Himself;628;115;37543;
;629;1531;12436;
Rosa;630;2497;48603;
;631;3802;27196;
;633;5286;57644;
Foreign Office Minister;635;5233;34834;
Caracol Perezgil;636;577;276;
;636;3270;2021;
;636;4652;3422;
;636;5562;3981;
The Priest;636;504;6345;
;636;803;8031;
Carlitos;636;817;8120;
;636;1071;9380;
El bandido pequeñito;636;1216;10263;
;636;1786;14169;
;636;2144;16174;
Inspector Antolín;636;2746;19470;
Médico dispensario;636;3471;25090;
Dependiente interrogado;636;3803;27217;
El árbitro, Ayestaranovich;636;3809;27286;
;636;4872;32491;
Magistrado;637;3037;22074;
;641;581;41860;
Himself;642;2035;1339;
Hombre banda;643;1504;12184;
Leocadio;643;3282;23765;
Indio;643;5197;34442;
Policía 3;644;1360;11026;
Dolorosa;645;343;41149;
Estudiante II;651;352;41164;
Townsperson;652;3303;51371;
Alumna;653;5581;58389;
;654;1147;38814;
Femme du gouverneur;654;5032;39929;
;654;411;41453;
Ana;654;1482;44894;
Madre de Maureen;654;1875;46438;
Maureen adulta;654;1875;46439;
Helena;654;2111;47245;
Rosa Fils;654;2531;48470;
Silvia;654;3302;49204;
Andrea;654;2814;49409;
Tía Carmen;654;2837;49489;
Eva;654;3175;51005;
;654;3398;51834;
Lita Vilardell;654;3598;52549;
Lola;654;4557;55463;
;656;4371;624;
Camarero;656;1189;10134;
Gabriel;656;2313;17052;
Padre Amón;656;4070;28831;
Víctima 3;657;4767;55982;
Quentin;658;3229;23435;
Chico Martini 1;658;3784;27140;
;659;4938;33399;
;660;4028;28582;
;663;5662;37044;
;664;5415;35949;
Mujer en funeral;665;1211;43883;
Punk;665;2955;50017;
Bullfighter - Chiripa;666;4765;31909;
José María;667;2179;16367;
;669;2877;49657;
;670;3878;27704;
Herself - Hostess;671;741;38106;
;673;3564;2226;
Bearkiller;673;233;4756;
Tony;673;372;5640;
;673;636;7132;
El Muertes;673;876;8496;
Luis;673;1033;9213;
Carlos;673;1654;13364;
Luis;673;2349;17279;
Hippy;673;3103;22636;
Hombre;673;3260;23615;
Eusebio;673;3289;23871;
Juan;673;4023;28551;
Bernardo;673;4090;28951;
Le neveu;673;4254;29589;
Hugo;673;5011;33143;
Ángel;673;5026;33452;
Macarra;673;5284;35090;
David;673;5365;35635;
Agente;673;5664;37080;
Manolo;673;5312;37812;
Cuña;674;529;6456;
Mexican;674;561;6643;
Caronte;674;2755;19530;
;675;2878;20614;
;676;3028;22031;
Benito;678;501;6340;
Andrés;679;3766;2362;
;680;220;4701;
Policia uniforme 2;681;252;4882;
Temporero;681;808;8053;
Policía 2º;681;1547;12729;
Novio 2º;681;1769;14069;
;681;4870;32486;
;683;1022;9134;
Arcadio;683;1104;9556;
;683;1446;11726;
El Gordo;686;4922;32704;
Mario;687;2296;16877;
Superman;687;2552;18439;
Torero;688;4023;28550;
Servicio de seguridad;689;4656;31401;
;690;1161;10072;
Entrevistador;690;3582;25686;
Orado;694;418;5928;
Doctor Rufino;694;4416;30464;
Don Agustín;696;811;8084;
Cristo;696;5310;37797;
Enfermera;697;437;41526;
;697;667;42155;
;697;1326;44162;
Magdalena S.;697;1433;44630;
Barbara;697;1828;46228;
;697;1856;46389;
Rosi;697;1876;46448;
;697;2270;47655;
;697;2285;47692;
Novia del argentino;697;2319;47866;
Cristina;697;2699;48908;
Prostituta Morena;697;3056;50455;
;697;3116;50770;
Cristina;697;3418;52005;
Jacinta;697;3548;52340;
;697;3593;52546;
Modelo;697;3622;52642;
Girl in Puzzle;697;3903;53652;
Pepa;697;4458;55231;
Enfermera;697;4834;56143;
Tirana;697;4855;56245;
;697;5026;56822;
Sara Angulo;697;5372;57919;
;697;5387;57996;
Suzanna;697;5304;58179;
;697;19;58785;
Policía;699;1754;14019;
;699;2848;20338;
;702;3857;39829;
Secretaria;702;4094;54274;
Periodista;702;4467;55266;
Teresa;702;4915;56395;
City police;702;5280;57626;
;703;2267;47652;
Man asking Julia to dance at Salón Los Ángeles;706;1150;9975;
Ciclista;707;3241;23835;
;708;3355;51620;
Joven taberna 1;709;143;4352;
;709;1702;13763;
Soldado 2;709;5457;36140;
Arquero;711;274;5031;
;712;3963;28075;
;713;2778;49434;
Violinista;714;5409;35913;
Excursionista;718;973;8941;
;719;4842;32287;
;720;1590;45362;
;722;3397;24620;
;725;1974;38700;
